Device_Index,Year,DOI,SP_Mw (kg/mol),SP_Mn (kg/mol),SP_PDI,Solvent_1,Solvent_1_BP (C),Solvent_2,Solvent_2_BP (C),Solvent_VF1 (%),SP_Concentration (g/L),Insulating_Matrix,IM_Concentration (mg/ml),IM_MW (kg/mol),IM_PDI,SP_Blend (wt%),Solution_Processing_Environment,Substrate_Type,Dielectric_Material_1,Dielectric_Material_1_Thickness (nm),Dielectric_Material_2,Dielectric_Material_2_Thickness (nm),Source/Drain_Electrode_Material,Chanel_Width (μm),Chanel_Length (μm),Capacitance_Per_Unit_Area (nF/cm2),Substrate_Treatment,Deposition_Type,Spin_Rate (rpm),Spin_Time (s),Blade_Speed (mm/s),Blade_Height (um),Blade_Angle (degrees),Channel_Orientation_WRT_Coating_Direction,Stage_Temperature (C),Anneal_Temperature (C),Anneal_Time (hr),Annealing Environment,Deposition_Environment,OFET_Configuration,OFET_Regime,Film_Thickness (nm),Average_OFET_Hole_Mobility (cm2/Vs),STDEV_OFET_Hole Mobility (cm2/Vs),Average_OFET_Electron_Mobility (cm2/Vs),STDEV_OFET_Electron_Mobility (cm2/Vs),Vth_Hole (V),Vth_Electron (V),Ion/Ioff,Mobility_Charaterization_Environment,SS (V/Decade),Transfer_Curve _Vds,Transfer_Curve_Vg_min (V),Transfer_Curve_Vg_max (V),Output Curve_Vg_min (V),Output_Curve _Vg_max (V),Output_Curve_Vd_min (V),Output_Curve_Vd_max (V)
96,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,18,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,120.6,2.80E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
97,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,25,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,167.5,2.75E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
98,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,3,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,20.1,8.00E-02,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
99,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,33.5,1.25E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
100,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,7,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,46.9,8.00E-02,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
101,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,8.5,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,56.95,8.00E-02,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
102,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,10,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,67,8.00E-02,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
103,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,12,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,80.4,1.30E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
104,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,14,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,93.8,1.25E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
105,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,16,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,107.2,5.00E-02,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
106,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,18,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,120.6,7.50E-02,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
107,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,25,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,100,0.5,NaN,NaN,TGBC,Saturation,167.5,9.50E-02,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
108,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,3,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,100,0.5,NaN,NaN,TGBC,Saturation,20.1,5.50E-02,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
109,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,100,0.5,NaN,NaN,TGBC,Saturation,33.5,3.25E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
110,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,7,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,100,0.5,NaN,NaN,TGBC,Saturation,46.9,3.00E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
111,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,10,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,100,0.5,NaN,NaN,TGBC,Saturation,67,3.50E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
112,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,12,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,100,0.5,NaN,NaN,TGBC,Saturation,80.4,3.80E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
113,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,14,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,100,0.5,NaN,NaN,TGBC,Saturation,93.8,4.25E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
114,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,18,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,100,0.5,NaN,NaN,TGBC,Saturation,120.6,4.00E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
115,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,25,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,CYTOP,447,NaN,NaN,Au,4500,70,4.2,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,100,0.5,NaN,NaN,TGBC,Saturation,167.5,3.00E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,0,-80,-20,-100,0
